k,standard_PCA_avg_loss,standard_PCA_standard_error,fair_PCA_avg_loss,fair_PCA_standard_error,LAFTR_avg_loss,LAFTR_standard_error
1,0.6439218530045995,0.00977521703102471,0.6660125474361395,0.006134396264688884,,
2,0.6076493840112267,0.006455370569652125,0.6160624432003909,0.006211813111483071,0.6186084497109794,0.010547539307081327
3,0.6108813566177398,0.00711760004344154,0.6194568413569284,0.007440252810049758,0.6248678086530907,0.014688249518771351
4,0.6096859841020198,0.007915862383345474,0.6211346666586797,0.006513883398825122,0.6250308768325874,0.01384253797009591
5,0.6096465747652307,0.007391236714394471,0.6205290627702229,0.008644081740833073,0.6313731033371994,0.015374572831504845
6,0.617972005091695,0.010336778951372331,0.6315800950945281,0.011314347382621843,0.6333148419649628,0.016044013804337513
7,0.6294495932949795,0.013770527732677474,0.6378718083567391,0.017132231231526705,0.6376344914609915,0.013605378389548513
8,0.6352216617427553,0.01377814478031131,0.6440650035410364,0.014425460269961284,0.6381735665252887,0.016388276742187163
9,0.6402494144591493,0.012250591696820535,0.6506728639099829,0.016098282256375822,0.6418833691498056,0.016985264592600257
10,0.6356771589946091,0.012138820465079149,0.6567732475969753,0.020303111561265224,0.6462408867811337,0.016206084434197455
